Year,Week_Number,mean_return,volatility
2016,08,0.09039999999999998,0.9559944037493107
2016,09,0.5528,1.36471011573887
2016,10,0.13840000000000002,1.1541543657587576
2016,11,0.1988,0.44992243776010993
2016,12,-0.11399999999999999,0.6591363035569098
2016,13,0.5864,0.7362189212455763
2016,14,-0.25579999999999997,1.1748479476085405
2016,15,0.36080000000000007,0.7954487412775256
2016,16,-0.129,0.4845301848182423
2016,17,-0.5386,0.4143528689414374
2016,18,-0.1622,0.8281079035971097
2016,19,-0.07519999999999999,0.8799580671827492
2016,20,0.22380000000000005,1.100003499994432
2016,21,0.6808,0.8074194696686476
2016,22,0.046500000000000014,0.4362709402806166
2016,23,-0.1928,0.6991403292615869
2016,24,-0.3867999999999999,0.5173071621387045
2016,25,-0.3682,2.203896708105895
2016,26,0.6618,1.8387076167786982
2016,27,0.48450000000000004,1.0182483325135703
2016,28,0.293,0.47363118562864925
2016,29,0.2806,0.6169953808579121
2016,30,0.242,0.23145517924643638
2016,31,0.22960000000000003,0.7157728690024511
2016,32,0.04559999999999999,0.3340438593957386
2016,33,0.022000000000000002,0.44661336746676095
2016,34,-0.07360000000000001,0.4334175815538636
2016,35,0.1186,0.28412550043950646
2016,36,-0.589,1.359707566599034
2016,37,0.4636000000000001,1.1412544852047681
2016,38,0.23419999999999996,0.6943051922605793
2016,39,0.026599999999999978,0.9011139217657221
2016,40,-0.07339999999999999,0.32142464124581366
2016,41,-0.29479999999999995,0.8153708971995505
2016,42,0.1662,0.4339069024571976
2016,43,-0.2554,0.7038148193949882
2016,44,-0.5594,0.41350671094916946
2016,45,0.7502000000000001,1.1484292316028881
2016,46,0.3218,0.622546142868141
2016,47,0.3625,0.4077159959252682
2016,48,-0.5346,0.6860060495360081
2016,49,0.709,0.33876466757913226
2016,50,-0.0252,0.6623950482906708
2016,51,0.09440000000000001,0.40431213189811654
2016,52,-0.3645,0.6566609982834878
2017,01,0.63525,0.316043641501191
2017,02,0.192,0.2935208680826629
2017,03,-0.08375000000000002,0.4554187633376561
2017,04,0.3778,0.5061553121325508
2017,05,0.02220000000000002,0.55742640769881
2017,06,0.23679999999999998,0.23518439574087394
2017,07,0.362,0.27307782773414613
2017,08,0.029250000000000005,0.38170003493144544
2017,09,0.08979999999999999,0.8365427066205288
2017,10,-0.030200000000000005,0.2987585982026291
2017,11,0.1342,0.3926464058157161
2017,12,-0.24280000000000004,0.9092676723605652
2017,13,0.2834,0.23493041522970157
2017,14,-0.1146,0.32363374360532926
2017,15,-0.31025,0.277076854560848
2017,16,0.36160000000000003,0.5147575157294938
2017,17,0.46080000000000004,0.5282207871714251
2017,18,0.17579999999999998,0.41670157187128537
2017,19,0.0672,0.18576786589719976
2017,20,-0.11520000000000001,1.3805052336010901
2017,21,0.4128,0.33955588641636003
2017,22,0.38375,0.5559720466594221
2017,23,-0.3092,0.8909639162165884
2017,24,-0.18059999999999998,0.5199714415234744
2017,25,0.369,0.830613026625516
2017,26,-0.39580000000000004,1.2268270864306834
2017,27,0.055249999999999994,0.9602219795443134
2017,28,0.5134000000000001,0.3585440000892499
2017,29,0.2378,0.30059058534824407
2017,30,-0.04059999999999999,0.37519768122950864
2017,31,-0.07259999999999998,0.2984875206771633
2017,32,-0.296,1.106336973982159
2017,33,-0.12279999999999999,1.1769034369904778
2017,34,0.15920000000000006,0.6770016248134121
2017,35,0.5366,0.4322809271758355
2017,36,-0.29225,0.5629229520991306
2017,37,0.27740000000000004,0.580493583082535
2017,38,-0.0668,0.26262273321249247
2017,39,0.21639999999999998,0.7588374661282875
2017,40,0.2888,0.2948740409056043
2017,41,0.047400000000000005,0.20510070697099023
2017,42,0.07060000000000001,0.25818268725846044
2017,43,0.22240000000000001,1.1545827384817429
2017,44,0.18839999999999998,0.38046852695065325
2017,45,-0.03939999999999999,0.38842862922292426
2017,46,0.09600000000000002,0.7033338467612661
2017,47,0.39049999999999996,0.456985411875113
2017,48,-0.11839999999999999,0.7893353533194873
2017,49,-0.020199999999999975,0.6407348905748773
2017,50,0.282,0.5874010554978599
2017,51,0.06799999999999999,0.4711639841923404
2017,52,-0.20325000000000001,0.3787385861866555
2018,00,0.835,0.5405355369137785
2018,01,0.34700000000000003,0.39978119015281344
2018,02,0.26,0.6754465189783718
2018,03,0.45999999999999996,0.77368081273869
2018,04,-0.7134,0.7824703189259002
2018,05,-1.0012,2.8210777550432744
2018,06,1.043,0.8940148209062309
2018,07,0.34,0.9527941365618634
2018,08,-0.21159999999999995,1.2231436138082887
2018,09,0.8225999999999999,0.5984641175542607
2018,10,-0.2084,0.507403981064398
2018,11,-1.3372,1.2648777411275762
2018,12,0.28025,2.7281728164958077
2018,13,-0.40800000000000003,1.954829660098291
2018,14,0.5519999999999999,1.0472855389052214
2018,15,0.11640000000000002,1.1964726490814572
2018,16,-0.06820000000000004,1.1859606654522736
2018,17,0.2552,1.0267098908649903
2018,18,0.5314,0.4946830298281921
2018,19,-0.1302,0.5409350238244885
2018,20,0.21580000000000005,0.3655744794156179
2018,21,0.40625,0.9541126331134426
2018,22,0.24180000000000001,0.574814491814533
2018,23,0.26339999999999997,0.44291624490415793
2018,24,-0.13740000000000002,0.5811319127358262
2018,25,-0.4725999999999999,1.2656608155426161
2018,26,0.59125,0.9958351185479117
2018,27,0.3578,0.7707624147556755
2018,28,-0.0142,0.39009896180328396
2018,29,-0.20819999999999994,1.04613608101432
2018,30,0.19600000000000004,0.9741588679471126
2018,31,0.0702,0.47190857165345074
2018,32,-0.05560000000000002,0.7373573082298703
